[2017-02-28 12:09:41.487][      TEST] Main Begin
[2017-02-28 12:09:41.520][      TEST] Check stockID(002474) list size(245)
[2017-02-28 12:09:41.522][      TEST] ### CheckPoint 2014-04-29
[2017-02-28 12:09:41.522][      TEST] ### CheckPoint 2014-04-30
[2017-02-28 12:09:41.523][      TEST] ### CheckPoint 2014-05-05
[2017-02-28 12:09:41.523][      TEST] ### CheckPoint 2014-11-13
[2017-02-28 12:09:41.524][      TEST] ### CheckPoint 2014-11-17
[2017-02-28 12:09:41.524][      TEST] ### CheckPoint 2014-11-18
[2017-02-28 12:09:41.525][      TEST] ### CheckPoint 2014-11-19
[2017-02-28 12:09:41.525][      TEST] ### CheckPoint 2014-12-11
[2017-02-28 12:09:41.526][      TEST] ### CheckPoint 2014-12-12
[2017-02-28 12:09:41.526][      TEST] ### CheckPoint 2014-12-15
[2017-02-28 12:09:41.626][      TEST] Main End
